messages,clean_text,label
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go jurong point crazy available bugis n great world la e buffet cine got amore wat,ham
Ok lar... Joking wif u oni...,ok lar joking wif oni,ham
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry question std txt rate c apply 08452810075over18,spam
U dun say so early hor... U c already then say...,dun say early hor c already say,ham
"Nah I don't think he goes to usf, he lives around here though",nah think go usf life around though,ham
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, ï¿½1.50 to rcv",freemsg hey darling 3 week word back like fun still tb ok xxx std chgs send 1 50 rcv,spam
Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak treat like aid patent,ham
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,ham
WINNER!! As a valued network customer you have been selected to receivea ï¿½900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valued network customer selected receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour,spam
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile 11 month entitled update latest colour mobile camera free call mobile update co free 08002986030,spam
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",gon na home soon want talk stuff anymore tonight k cried enough today,ham
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chance win cash 100 20 000 pound txt csh11 send 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info,spam
"URGENT! You have won a 1 week FREE membership in our ï¿½100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent 1 week free membership 100 000 prize jackpot txt word claim 81010 c www dbuk net lccltd pobox 4403ldnw1a7rw18,spam
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,ham
I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday,ham
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl,spam
Oh k...i'm watching here:),oh k watching,ham
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh remember 2 spell name yes v naughty make v wet,ham
Fine if thatï¿½ï¿½s the way u feel. Thatï¿½ï¿½s the way its gota b,fine way feel way gota b,ham
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss goal team news txt ur national team 87077 eg england 87077 try wale scotland 4txt 1 20 poboxox36504w45wq 16,spam
Is that seriously how you spell his name?,seriously spell name,ham
Iï¿½ï¿½ï¿½m going to try for 2 months ha ha only joking,going try 2 month ha ha joking,ham
So ï¿½_ pay first lar... Then when is da stock comin...,pay first lar da stock comin,ham
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch go str lor ard 3 smth lor finish ur lunch already,ham
Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright way meet sooner,ham
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forced eat slice really hungry tho suck mark getting worried know sick turn pizza laughing loud,ham
Lol your always so convincing.,laughing loud always convincing,ham
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus frying egg make tea eating mom left dinner feel love,ham
"I'm back &amp; we're packing the car now, I'll let you know if there's room",back amp packing car let know room,ham
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vaguely remember feel like laughing loud,ham
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait still clear sure sarcastic x want live u,ham
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 go badly cheer,ham
K tell me anything about you.,k tell anything,ham
For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear fainting housework quick cuppa,ham
Thanks for your subscription to Ringtone UK your mobile will be charged ï¿½5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks subscription ringtone uk mobile charged 5 month please confirm replying yes reply charged,spam
Yup... Ok i go home look at the timings then i msg ï¿½_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look timing msg xuhui going learn 2nd may lesson 8am,ham
"Oops, I'll let you know when my roommate's done",oops let know roommate done,ham
I see the letter B on my car,see letter b car,ham
Anything lor... U decide...,anything lor decide,ham
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello saturday go texting see decided anything tomo trying invite anything,ham
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,please go ahead watt wanted sure great weekend abiola,ham
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave love sweet arabian steed mmmmmm yummy,ham
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 rodger burn msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow,spam
WHO ARE YOU SEEING?,seeing,ham
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man well endowed lt gt inch,ham
No calls..messages..missed calls,call message missed call,ham
Didn't you get hep b immunisation in nigeria.,get hep b immunisation nigeria,ham
"Fair enough, anything going on?",fair enough anything going,ham
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully tyler could maybe ask around bit,ham
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker,ham
What you thinked about me. First time you saw me in class.,thinked first time saw class,ham
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt,ham
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k information x ride early tomorrow morning crashing place tonight,ham
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing,ham
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,spam
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find lt url gt,ham
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm dont miss,spam
"Sorry, I'll call later in meeting.",sorry call later meeting,ham
Tell where you reached,tell reached,ham
Yes..gauti and sehwag out of odi series.,yes gauti sehwag odi series,ham
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gon na pick 1 burger way home even move pain killing,ham
Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girl situation seeker,ham
Its a part of checking IQ,part checking iq,ham
"Sorry my roommates took forever, it ok if I come by now?",sorry roommate took forever ok come,ham
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,ham
